ComplaintType,requests
DOF Property - State Rebate,5
VACANT APARTMENT,3
Trapping Pigeon,1
MOLD,1
LEAD,1
Complaint Type,1
Asbestos/Garbage Nuisance,1
Unlicensed Dog,1
Unspecified,1
Injured Wildlife,1
DOF Literature Request,1
SG-99,1
Illegal Animal - Sold/Kept,1
